0	0
0.25	0.0075
0.5	0.015
0.75	0.0225
1	0.03
1.25	0.105
1.5	0.18
1.75	0.265
2	0.35
2.25	0.4
2.5	0.45
2.75	0.5
3	0.73
3.25	0.81
3.5	0.82
3.75	0.82
4	0.82
4.25	0.82
4.5	0.82
4.75	0.82
5	0.82
5.25	0.82
5.5	0.82
5.75	0.82
6	0.82
6.25	0.82
6.5	0.82
6.75	0.8266667
7	0.8333333
7.25	0.84
7.5	0.8466667
7.75	0.8533333
8	0.86
8.25	1.01
8.5	1.16
8.75	1.25
9	1.54
9.25	1.75
9.5	1.99
9.75	2.08
10	2.11
10.25	2.18
10.5	2.22
10.75	2.26
11	2.31
11.25	2.35
11.5	2.37
11.75	2.375
12	2.38
12.25	2.38
12.5	2.38
12.75	2.38
13	2.38
13.25	2.38
13.5	2.38
13.75	2.38
14	2.38
14.25	2.38
14.5	2.38
14.75	2.38
15	2.38
15.25	2.38
15.5	2.38
15.75	2.38
16	2.38
16.25	2.38
16.5	2.38
16.75	2.38
0	0
0.25	0.0075
0.5	0.015
0.75	0.0225
1	0.03
1.25	0.105
1.5	0.18
1.75	0.265
2	0.35
2.25	0.4
2.5	0.45
2.75	0.5
3	0.73
3.25	0.81
3.5	0.82
3.75	0.82
4	0.82
4.25	0.82
4.5	0.82
4.75	0.82
5	0.82
5.25	0.82
5.5	0.82
5.75	0.82
6	0.82
6.25	0.82
6.5	0.82
6.75	0.8266667
7	0.8333333
7.25	0.84
7.5	0.8466667
7.75	0.8533333
8	0.86
8.25	1.01
8.5	1.16
8.75	1.25
9	1.54
9.25	1.75
9.5	1.99
9.75	2.08
10	2.11
10.25	2.18
10.5	2.22
10.75	2.26
11	2.31
11.25	2.35
11.5	2.37
11.75	2.375
12	2.38
12.25	2.38
12.5	2.38
12.75	2.38
13	2.38
13.25	2.38
13.5	2.38
13.75	2.38
14	2.38
14.25	2.38
14.5	2.38
14.75	2.38
15	2.38
15.25	2.38
15.5	2.38
15.75	2.38
16	2.38
16.25	2.38
16.5	2.38
16.75	2.38
17	2.38
17.25	2.38
17.5	2.38
17.75	2.38
18	2.38
18.25	2.38
18.5	2.38
18.75	2.38
19	2.38
19.25	2.38
19.5	2.38
19.75	2.38
20	2.38
20.25	2.3875
20.5	2.395
20.75	2.4025
21	2.41
21.25	2.46
21.5	2.5
21.75	3.03
22	3.8
22.25	4.235
22.5	4.67
22.75	4.8
23	4.83
23.25	4.85
23.5	4.87
23.75	4.92
24	5
24.25	5.036667
24.5	5.073333
24.75	5.11
25	5.155
25.25	5.2
25.5	5.375
25.75	5.55
26	5.87
26.25	5.91
26.5	5.91
26.75	5.91
27	5.91
27.25	5.91
27.5	5.91
27.75	5.91
28	5.91
28.25	5.91
28.5	5.91
28.75	5.91
29	5.91
29.25	5.91
29.5	5.91
29.75	5.91
30	5.91
30.25	5.91
30.5	5.91
30.75	5.91
31	5.91
31.25	5.91
31.5	5.91
31.75	5.91
32	5.91
32.25	5.91
32.5	5.91
32.75	5.91
33	5.91
33.25	5.91
33.5	5.91
33.75	5.91
34	5.91
34.25	5.91125
34.5	5.9125
34.75	5.91375
35	5.915
35.25	5.91625
35.5	5.9175
35.75	5.91875
36	5.92
0	0
0.25	0.0075
0.5	0.015
0.75	0.0225
1	0.03
1.25	0.105
1.5	0.18
1.75	0.265
2	0.35
2.25	0.4
2.5	0.45
2.75	0.5
3	0.73
3.25	0.81
3.5	0.82
3.75	0.82
4	0.82
4.25	0.82
4.5	0.82
4.75	0.82
5	0.82
5.25	0.82
5.5	0.82
5.75	0.82
6	0.82
6.25	0.82
6.5	0.82
6.75	0.8266667
7	0.8333333
7.25	0.84
7.5	0.8466667
7.75	0.8533333
8	0.86
8.25	1.01
8.5	1.16
8.75	1.25
9	1.54
9.25	1.75
9.5	1.99
9.75	2.08
10	2.11
10.25	2.18
10.5	2.22
10.75	2.26
11	2.31
11.25	2.35
11.5	2.37
11.75	2.375
12	2.38
12.25	2.38
12.5	2.38
12.75	2.38
13	2.38
13.25	2.38
13.5	2.38
13.75	2.38
14	2.38
14.25	2.38
14.5	2.38
14.75	2.38
15	2.38
15.25	2.38
15.5	2.38
15.75	2.38
16	2.38
16.25	2.38
16.5	2.38
16.75	2.38
17	2.38
17.25	2.38
17.5	2.38
17.75	2.38
18	2.38
18.25	2.38
18.5	2.38
18.75	2.38
19	2.38
19.25	2.38
19.5	2.38
19.75	2.38
20	2.38
20.25	2.3875
20.5	2.395
20.75	2.4025
21	2.41
21.25	2.46
21.5	2.5
21.75	3.03
22	3.8
22.25	4.235
22.5	4.67
22.75	4.8
23	4.83
23.25	4.85
23.5	4.87
23.75	4.92
24	5
24.25	5.036667
24.5	5.073333
24.75	5.11
25	5.155
25.25	5.2
25.5	5.375
25.75	5.55
26	5.87
26.25	5.91
26.5	5.91
26.75	5.91
27	5.91
27.25	5.91
27.5	5.91
27.75	5.91
28	5.91
28.25	5.91
28.5	5.91
28.75	5.91
29	5.91
29.25	5.91
29.5	5.91
29.75	5.91
30	5.91
30.25	5.91
30.5	5.91
30.75	5.91
31	5.91
31.25	5.91
31.5	5.91
31.75	5.91
32	5.91
32.25	5.91
32.5	5.91
32.75	5.91
33	5.91
33.25	5.91
33.5	5.91
33.75	5.91
34	5.91
34.25	5.91125
34.5	5.9125
34.75	5.91375
35	5.915
35.25	5.91625
35.5	5.9175
35.75	5.91875
36	5.92
